Binary,Function,Type,LINK,Attack
cowthink,"Function: Shell, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/cowthink
cp,"Function: File write, File read, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/cp
cpan,"Function: Shell, Reverse shell, File upload, File download, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/cpan
cpio,"Function: Shell, File write, File read, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/cpio
cpulimit,"Function: Shell, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/cpulimit
crash,"Function: Shell, Command, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/crash
crontab,"Function: Command, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/crontab
csh,"Function: Shell, File write, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/csh
csplit,"Function: File write, File read, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/csplit
csvtool,"Function: Shell, File write, File read, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/csvtool
cupsfilter,"Function: File read, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/cupsfilter
curl,"Function: File upload, File download, File write, File read, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/curl
cut,"Function: File read, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/cut
dash,"Function: Shell, File write, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/dash
dd,"Function: File write, File read, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/dd
dialog,"Function: File read, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/dialog
diff,"Function: File read, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/diff
dmesg,"Function: Shell, File read, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/dmesg
dmidecode,Function: Sudo,Type: Binaries,https://gtfobins.github.io/gtfobins/dmidecode
dmsetup,"Function: SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/dmsetup
dnf,Function: Sudo,Type: Binaries,https://gtfobins.github.io/gtfobins/dnf
docker,"Function: Shell, File write, File read, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/docker
dosbox,"Function: File write, File read, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/dosbox
dpkg,"Function: Shell, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/dpkg
dvips,"Function: Shell, Sudo, Limited SUID",Type: Binaries,https://gtfobins.github.io/gtfobins/dvips
easy_install,"Function: Shell, Reverse shell, File upload, File download, File write, File read, Library load, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/easy_install
eb,"Function: Shell, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/eb
ed,"Function: Shell, File write, File read, SUID, Sudo, Limited SUID",Type: Binaries,https://gtfobins.github.io/gtfobins/ed
efax,"Function: SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/efax
emacs,"Function: Shell, File write, File read, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/emacs
env,"Function: Shell, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/env
eqn,"Function: File read, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/eqn
ex,"Function: Shell, File write, File read, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/ex
exiftool,"Function: File write, File read, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/exiftool
expand,"Function: File read, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/expand
expect,"Function: Shell, File read, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/expect
facter,"Function: Shell, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/facter
file,"Function: File read, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/file
find,"Function: Shell, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/find
finger,"Function: File upload, File download",Type: Binaries,https://gtfobins.github.io/gtfobins/finger
fish,"Function: Shell, SUID, Sudo",Type: Binaries,https://gtfobins.github.io/gtfobins/fish
